0,0,0,0,0.6213976
0,0,0,1,0.6205692
0,0,0,2,0.61922866
0,0,0,3,0.6189314
0,0,0,4,0.61912423
0,0,0,5,0.6195892
0,0,0,6,0.6203131
0,0,0,7,0.62027204
0,0,0,8,0.61952585
0,0,0,9,0.6194214
0,0,0,10,0.6197187
0,0,0,11,0.6200792
0,0,0,12,0.62097085
0,0,0,13,0.62182146
0,0,0,14,0.6215242
0,0,0,15,0.6214992
0,0,0,16,0.6221186
0,0,0,17,0.62211865
0,0,0,18,0.6202087
0,0,0,19,0.61857086
0,0,0,20,0.6181692
0,0,0,21,0.61922866
0,0,0,22,0.62067366
0,0,0,23,0.62116367
0,0,0,24,0.62037647
0,0,0,25,0.6200159
0,0,0,26,0.6208665
0,0,0,27,0.6216948
0,0,0,28,0.62165374
0,0,0,29,0.6217581
0,0,0,30,0.6221848
0,0,0,31,0.62260866
0,0,1,0,0.61711526
0,0,1,1,0.6164116
0,0,1,2,0.6152723
0,0,1,3,0.6149418
0,0,1,4,0.615209
0,0,1,5,0.6158172
0,0,1,6,0.6163072
0,0,1,7,0.6159837
0,0,1,8,0.6153023
0,0,1,9,0.615239
0,0,1,10,0.6155695
0,0,1,11,0.61611444
0,0,1,12,0.61678475
0,0,1,13,0.61728173
0,0,1,14,0.6171989
0,0,1,15,0.61741245
0,0,1,16,0.6176889
0,0,1,17,0.6173118
0,0,1,18,0.6157165
0,0,1,19,0.61451507
0,0,1,20,0.6142715
0,0,1,21,0.6151221
0,0,1,22,0.6162065
0,0,1,23,0.6165038
0,0,1,24,0.6158968
0,0,1,25,0.6155996
0,0,1,26,0.6163443
0,0,1,27,0.6171453
0,0,1,28,0.6172197
0,0,1,29,0.617283
0,0,1,30,0.61726224
0,0,1,31,0.61733246
0,0,2,0,0.60804635
0,0,2,1,0.6075648
0,0,2,2,0.6066457
0,0,2,3,0.6063005
0,0,2,4,0.6066457
0,0,2,5,0.6073845
0,0,2,6,0.6069907
0,0,2,7,0.60580355
0,0,2,8,0.60534227
0,0,2,9,0.60597
0,0,2,10,0.60682595
0,0,2,11,0.6076817
0,0,2,12,0.6075315
0,0,2,13,0.6070062
0,0,2,14,0.60713357
0,0,2,15,0.6077418
0,0,2,16,0.60776126
0,0,2,17,0.6071532
0,0,2,18,0.60615027
0,0,2,19,0.6055225
0,0,2,20,0.6056728
0,0,2,21,0.6062477
0,0,2,22,0.60662776
0,0,2,23,0.6064775
0,0,2,24,0.60600007
0,0,2,25,0.6055225
0,0,2,26,0.60577023
0,0,2,27,0.6062955
0,0,2,28,0.60660654
0,0,2,29,0.60690373
0,0,2,30,0.60647583
0,0,2,31,0.6060687
0,0,3,0,0.59764564
0,0,3,1,0.5971223
0,0,3,2,0.59603256
0,0,3,3,0.59539115
0,0,3,4,0.5956046
0,0,3,5,0.5963777
0,0,3,6,0.59565246
0,0,3,7,0.59379876
0,0,3,8,0.5928352
0,0,3,9,0.5937532
0,0,3,10,0.5954211
0,0,3,11,0.59653723
0,0,3,12,0.59522134
0,0,3,13,0.59343284
0,0,3,14,0.5935729
0,0,3,15,0.5947155
0,0,3,16,0.5951435
0,0,3,17,0.59472597
0,0,3,18,0.5937199
0,0,3,19,0.5932245
0,0,3,20,0.59401715
0,0,3,21,0.5946058
0,0,3,22,0.59434766
0,0,3,23,0.593469
0,0,3,24,0.5923792
0,0,3,25,0.59155864
0,0,3,26,0.5919899
0,0,3,27,0.5927524
0,0,3,28,0.59323305
0,0,3,29,0.59354293
0,0,3,30,0.59306216
0,0,3,31,0.5925575
0,0,4,0,0.58225286
0,0,4,1,0.58198893
0,0,4,2,0.581416
0,0,4,3,0.5807737
0,0,4,4,0.580613
0,0,4,5,0.58131856
0,0,4,6,0.5808504
0,0,4,7,0.5788443
0,0,4,8,0.5771099
0,0,4,9,0.5774473
0,0,4,10,0.5791521
0,0,4,11,0.5805228
0,0,4,12,0.57897186
0,0,4,13,0.5766248
0,0,4,14,0.576602
0,0,4,15,0.578176
0,0,4,16,0.5791716
0,0,4,17,0.57897186
0,0,4,18,0.57757807
0,0,4,19,0.57652414
0,0,4,20,0.5774225
0,0,4,21,0.5784732
